Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
522000000;-69.357452392578125;-81.93460845947265625
524000000;-67.6696319580078125;-85.4510040283203125
526000000;-72.84967041015625;-90.3282012939453125
528000000;-71.1912994384765625;-88.0653076171875
530000000;-74.88701629638671875;-92.3719024658203125
532000000;-74.2337188720703125;-101.78578948974609375
534000000;-76.00148773193359375;-106.0878143310546875
536000000;-72.0029449462890625;-100.16742706298828125
538000000;-74.43824005126953125;-87.10986328125
540000000;-69.8348541259765625;-83.15685272216796875
542000000;-68.5641021728515625;-87.18010711669921875
544000000;-63.165073394775390625;-82.403045654296875
546000000;-63.318775177001953125;-96.30887603759765625
548000000;-70.95175933837890625;-86.701171875
550000000;-72.13179779052734375;-96.71523284912109375
552000000;-71.58165740966796875;-94.9149932861328125
554000000;-73.46483612060546875;-88.13794708251953125
556000000;-70.643829345703125;-105.6494140625
558000000;-72.6926116943359375;-89.23914337158203125
560000000;-72.384552001953125;-94.561126708984375
562000000;-70.6348114013671875;-95.10849761962890625
564000000;-79.472625732421875;-97.03859710693359375
566000000;-77.51192474365234375;-98.7135772705078125
568000000;-73.49318695068359375;-96.1187591552734375
570000000;-71.99781036376953125;-105.16211700439453125
572000000;-70.78749847412109375;-92.52648162841796875
574000000;-72.1963958740234375;-88.81340789794921875
576000000;-72.91314697265625;-107.38507080078125
578000000;-74.00353240966796875;-89.131317138671875
580000000;-74.90726470947265625;-104.070037841796875
582000000;-73.12084197998046875;-96.69954681396484375
584000000;-73.76336669921875;-88.7588043212890625
586000000;-59.839405059814453125;-93.23553466796875
588000000;-44.25301361083984375;-59.657520294189453125
590000000;-53.228076934814453125;-99.03263092041015625
592000000;-75.19025421142578125;-95.22809600830078125
594000000;-69.91609954833984375;-102.87302398681640625
596000000;-74.11895751953125;-86.855743408203125
598000000;-76.10509490966796875;-109.73384857177734375
600000000;-72.24361419677734375;-86.21294403076171875
602000000;-71.7529296875;-95.17214202880859375
604000000;-71.71265411376953125;-99.764404296875
606000000;-72.507354736328125;-106.0907135009765625
608000000;-73.55153656005859375;-104.2026214599609375
610000000;-71.76036834716796875;-87.2482452392578125
612000000;-71.16150665283203125;-94.549407958984375
614000000;-72.3447265625;-88.63875579833984375
616000000;-73.080078125;-107.72332763671875
618000000;-72.73969268798828125;-101.93093109130859375
620000000;-73.62115478515625;-94.0405120849609375
622000000;-69.96027374267578125;-98.94939422607421875
624000000;-70.552764892578125;-93.435333251953125
626000000;-72.8001861572265625;-91.6501922607421875
628000000;-72.8694915771484375;-106.34941864013671875
630000000;-71.6965484619140625;-97.27397918701171875
632000000;-73.48818206787109375;-91.5431976318359375
634000000;-69.962677001953125;-87.8938140869140625
636000000;-73.60033416748046875;-104.379302978515625
638000000;-73.20226287841796875;-93.49863433837890625
640000000;-71.59860992431640625;-95.42317962646484375
642000000;-71.61586761474609375;-99.1230926513671875
644000000;-69.49554443359375;-88.76885223388671875
646000000;-72.54222869873046875;-89.33293914794921875
648000000;-71.03301239013671875;-103.9532928466796875
650000000;-69.789581298828125;-91.12450408935546875
652000000;-73.6312103271484375;-114.27021026611328125
654000000;-71.16851043701171875;-92.6240997314453125
656000000;-71.2547454833984375;-98.56525421142578125
658000000;-74.9490966796875;-105.04981231689453125
660000000;-72.409881591796875;-96.1815338134765625
662000000;-73.919189453125;-101.42128753662109375
664000000;-72.51306915283203125;-99.960418701171875
666000000;-70.9981689453125;-99.72040557861328125
668000000;-74.58798980712890625;-91.5583038330078125
670000000;-72.1561431884765625;-104.0851898193359375
672000000;-76.97229766845703125;-98.9068756103515625
674000000;-69.692291259765625;-90.27727508544921875
676000000;-75.75203704833984375;-91.230072021484375
678000000;-73.00304412841796875;-103.421051025390625
680000000;-73.43328857421875;-88.73480224609375
682000000;-75.58687591552734375;-98.54897308349609375
684000000;-72.86106109619140625;-88.89040374755859375
686000000;-71.58669281005859375;-100.43698883056640625
688000000;-72.55889129638671875;-92.86803436279296875
690000000;-70.7612762451171875;-86.8039703369140625
692000000;-70.73329925537109375;-110.53432464599609375
694000000;-73.17382049560546875;-108.0978546142578125
696000000;-71.9078521728515625;-112.61383056640625
698000000;-74.33530426025390625;-87.81366729736328125
700000000;-74.278228759765625;-86.0759429931640625
702000000;-77.899688720703125;-108.4327392578125
704000000;-73.2834320068359375;-92.02234649658203125
706000000;-71.439544677734375;-78.8130645751953125
708000000;-74.23775482177734375;-95.58061981201171875
710000000;-54.66237640380859375;-93.69281005859375
712000000;-52.3836517333984375;-82.3607025146484375
714000000;-72.1336212158203125;-86.80864715576171875
716000000;-72.5906219482421875;-105.5355224609375
718000000;-70.75185394287109375;-96.0992279052734375
720000000;-70.12015533447265625;-106.4010772705078125
722000000;-72.125640869140625;-93.020782470703125
724000000;-72.2726287841796875;-99.3780364990234375
726000000;-71.9608612060546875;-107.8648529052734375
728000000;-70.8715972900390625;-96.70203399658203125
730000000;-70.3484344482421875;-101.67545318603515625
732000000;-74.97005462646484375;-114.16587066650390625
734000000;-70.76880645751953125;-93.1079559326171875
736000000;-72.903106689453125;-95.88242340087890625
738000000;-71.92665863037109375;-93.69258880615234375
